id,json,sql
0,"{""Plan"": {""Node Type"": ""Index Scan"", ""Parallel Aware"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""person_id_cast_info"", ""Relation Name"": ""cast_info"", ""Alias"": ""ci"", ""Startup Cost"": 0.44, ""Total Cost"": 1035.06, ""Plan Rows"": 504, ""Plan Width"": 42, ""Actual Startup Time"": 0.626, ""Actual Total Time"": 2.148, ""Actual Rows"": 838, ""Actual Loops"": 1, ""Index Cond"": ""(person_id = 172968)"", ""Rows Removed by Index Recheck"": 0}, ""Planning Time"": 9.1, ""Triggers"": [], ""Execution Time"": 2.193}",SELECT * FROM cast_info ci WHERE ci.person_id=172968;
1,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 49877.66, ""Total Cost"": 321335.74, ""Plan Rows"": 183094, ""Plan Width"": 168, ""Actual Startup Time"": 1470.494, ""Actual Total Time"": 7566.75, ""Actual Rows"": 297013, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Hash Join"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Join Type"": ""Inner"", ""Startup Cost"": 48877.66, ""Total Cost"": 302026.34, ""Plan Rows"": 76289, ""Plan Width"": 168, ""Actual Startup Time"": 1454.579, ""Actual Total Time"": 7497.073, ""Actual Rows"": 99004, ""Actual Loops"": 3, ""Inner Unique"": true, ""Hash Cond"": ""(mi.movie_id = t.id)"", ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""movie_info"", ""Alias"": ""mi"", ""Startup Cost"": 0.0, ""Total Cost"": 239266.15, ""Plan Rows"": 5288575, ""Plan Width"": 74, ""Actual Startup Time"": 0.495, ""Actual Total Time"": 5556.531, ""Actual Rows"": 4248217, ""Actual Loops"": 3, ""Filter"": ""(info_type_id > 2)"", ""Rows Removed by Filter"": 697023, ""Workers"": []}, {""Node Type"": ""Hash"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": true, ""Startup Cost"": 48687.7, ""Total Cost"": 48687.7, ""Plan Rows"": 15197, ""Plan Width"": 94, ""Actual Startup Time"": 1452.69, ""Actual Total Time"": 1452.691, ""Actual Rows"": 8713, ""Actual Loops"": 3, ""Hash Buckets"": 65536, ""Original Hash Buckets"": 65536, ""Hash Batches"": 1, ""Original Hash Batches"": 1, ""Peak Memory Usage"": 3488, ""Workers"": [], ""Plans"": [{""Node Type"": ""Bitmap Heap Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""title"", ""Alias"": ""t"", ""Startup Cost"": 8066.0, ""Total Cost"": 48687.7, ""Plan Rows"": 15197, ""Plan Width"": 94, ""Actual Startup Time"": 11.174, ""Actual Total Time"": 1448.318, ""Actual Rows"": 8713, ""Actual Loops"": 3, ""Recheck Cond"": ""(kind_id < 3)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(production_year = 2008)"", ""Rows Removed by Filter"": 242513, ""Exact Heap Blocks"": 11874, ""Lossy Heap Blocks"": 0, ""Workers"": [], ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Index Name"": ""kind_id_title"", ""Startup Cost"": 0.0, ""Total Cost"": 8056.88, ""Plan Rows"": 739793, ""Plan Width"": 0, ""Actual Startup Time"": 21.896, ""Actual Total Time"": 21.896, ""Actual Rows"": 753677, ""Actual Loops"": 1, ""Index Cond"": ""(kind_id < 3)"", ""Workers"": []}]}]}]}]}, ""Planning Time"": 6.373, ""Triggers"": [], ""Execution Time"": 7576.589}","SELECT * FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<3 AND t.production_year=2008 AND mi.info_type_id>2;"
2,"{""Plan"": {""Node Type"": ""Hash Join"", ""Parallel Aware"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 129922.74, ""Total Cost"": 1505636.5, ""Plan Rows"": 31343438, ""Plan Width"": 136, ""Actual Startup Time"": 713.403, ""Actual Total Time"": 22148.643, ""Actual Rows"": 31427248, ""Actual Loops"": 1, ""Inner Unique"": true, ""Hash Cond"": ""(ci.movie_id = t.id)"", ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Relation Name"": ""cast_info"", ""Alias"": ""ci"", ""Startup Cost"": 0.0, ""Total Cost"": 705440.1, ""Plan Rows"": 31343438, ""Plan Width"": 42, ""Actual Startup Time"": 0.207, ""Actual Total Time"": 4011.416, ""Actual Rows"": 31427248, ""Actual Loops"": 1, ""Filter"": ""(person_id < 3194645)"", ""Rows Removed by Filter"": 4817096}, {""Node Type"": ""Hash"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Startup Cost"": 61281.44, ""Total Cost"": 61281.44, ""Plan Rows"": 2528344, ""Plan Width"": 94, ""Actual Startup Time"": 700.105, ""Actual Total Time"": 700.106, ""Actual Rows"": 2528312, ""Actual Loops"": 1, ""Hash Buckets"": 32768, ""Original Hash Buckets"": 32768, ""Hash Batches"": 128, ""Original Hash Batches"": 128, ""Peak Memory Usage"": 2453, ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Relation Name"": ""title"", ""Alias"": ""t"", ""Startup Cost"": 0.0, ""Total Cost"": 61281.44, ""Plan Rows"": 2528344, ""Plan Width"": 94, ""Actual Startup Time"": 0.016, ""Actual Total Time"": 245.96, ""Actual Rows"": 2528312, ""Actual Loops"": 1}]}]}, ""Planning Time"": 2.754, ""Triggers"": [], ""Execution Time"": 22879.883}","SELECT * FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<3194645;"
3,"{""Plan"": {""Node Type"": ""Nested Loop"", ""Parallel Aware"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 1.3, ""Total Cost"": 3298.69, ""Plan Rows"": 529, ""Plan Width"": 210, ""Actual Startup Time"": 0.84, ""Actual Total Time"": 2.145, ""Actual Rows"": 12, ""Actual Loops"": 1, ""Inner Unique"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 0.87, ""Total Cost"": 2925.01, ""Plan Rows"": 225, ""Plan Width"": 136, ""Actual Startup Time"": 0.466, ""Actual Total Time"": 1.02, ""Actual Rows"": 6, ""Actual Loops"": 1, ""Inner Unique"": true, ""Plans"": [{""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""person_id_cast_info"", ""Relation Name"": ""cast_info"", ""Alias"": ""ci"", ""Startup Cost"": 0.44, ""Total Cost"": 1036.32, ""Plan Rows"": 225, ""Plan Width"": 42, ""Actual Startup Time"": 0.338, ""Actual Total Time"": 0.347, ""Actual Rows"": 6, ""Actual Loops"": 1, ""Index Cond"": ""(person_id = 1742124)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(role_id > 2)"", ""Rows Removed by Filter"": 51}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""title_pkey"", ""Relation Name"": ""title"", ""Alias"": ""t"", ""Startup Cost"": 0.43, ""Total Cost"": 8.39, ""Plan Rows"": 1, ""Plan Width"": 94, ""Actual Startup Time"": 0.111, ""Actual Total Time"": 0.111, ""Actual Rows"": 1, ""Actual Loops"": 6, ""Index Cond"": ""(id = ci.movie_id)"", ""Rows Removed by Index Recheck"": 0}]}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""movie_id_movie_info"", ""Relation Name"": ""movie_info"", ""Alias"": ""mi"", ""Startup Cost"": 0.43, ""Total Cost"": 1.5, ""Plan Rows"": 16, ""Plan Width"": 74, ""Actual Startup Time"": 0.176, ""Actual Total Time"": 0.187, ""Actual Rows"": 2, ""Actual Loops"": 6, ""Index Cond"": ""(movie_id = t.id)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(info_type_id < 7)"", ""Rows Removed by Filter"": 2}]}, ""Planning Time"": 2.911, ""Triggers"": [], ""Execution Time"": 2.17}","SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id=1742124 AND ci.role_id>2 AND mi.info_type_id<7;"
4,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 97758.21, ""Total Cost"": 406124.88, ""Plan Rows"": 795804, ""Plan Width"": 161, ""Actual Startup Time"": 1496.703, ""Actual Total Time"": 1993.664, ""Actual Rows"": 733244, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Hash Join"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Join Type"": ""Inner"", ""Startup Cost"": 96758.21, ""Total Cost"": 325544.48, ""Plan Rows"": 331585, ""Plan Width"": 161, ""Actual Startup Time"": 1480.234, ""Actual Total Time"": 1815.115, ""Actual Rows"": 244415, ""Actual Loops"": 3, ""Inner Unique"": false, ""Hash Cond"": ""(ci.movie_id = t.id)"", ""Workers"": [], ""Plans"": [{""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Scan Direction"": ""Forward"", ""Index Name"": ""role_id_cast_info"", ""Relation Name"": ""cast_info"", ""Alias"": ""ci"", ""Startup Cost"": 0.44, ""Total Cost"": 160598.6, ""Plan Rows"": 3037470, ""Plan Width"": 42, ""Actual Startup Time"": 1.252, ""Actual Total Time"": 461.178, ""Actual Rows"": 2483991, ""Actual Loops"": 3, ""Index Cond"": ""(role_id = 2)"", ""Rows Removed by Index Recheck"": 0, ""Workers"": []}, {""Node Type"": ""Hash"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": true, ""Startup Cost"": 93298.24, ""Total Cost"": 93298.24, ""Plan Rows"": 115002, ""Plan Width"": 119, ""Actual Startup Time"": 670.73, ""Actual Total Time"": 670.733, ""Actual Rows"": 47285, ""Actual Loops"": 3, ""Hash Buckets"": 32768, ""Original Hash Buckets"": 32768, ""Hash Batches"": 16, ""Original Hash Batches"": 16, ""Peak Memory Usage"": 1568, ""Workers"": [], ""Plans"": [{""Node Type"": ""Hash Join"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Join Type"": ""Inner"", ""Startup Cost"": 18832.26, ""Total Cost"": 93298.24, ""Plan Rows"": 115002, ""Plan Width"": 119, ""Actual Startup Time"": 528.334, ""Actual Total Time"": 647.9, ""Actual Rows"": 47285, ""Actual Loops"": 3, ""Inner Unique"": false, ""Hash Cond"": ""(t.id = mi_idx.movie_id)"", ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""title"", ""Alias"": ""t"", ""Startup Cost"": 0.0, ""Total Cost"": 51800.15, ""Plan Rows"": 631642, ""Plan Width"": 94, ""Actual Startup Time"": 0.293, ""Actual Total Time"": 130.788, ""Actual Rows"": 492813, ""Actual Loops"": 3, ""Filter"": ""((production_year > 0) AND (kind_id = 7))"", ""Rows Removed by Filter"": 349957, ""Workers"": []}, {""Node Type"": ""Hash"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": true, ""Startup Cost"": 15122.68, ""Total Cost"": 15122.68, ""Plan Rows"": 191806, ""Plan Width"": 25, ""Actual Startup Time"": 300.535, ""Actual Total Time"": 300.536, ""Actual Rows"": 153308, ""Actual Loops"": 3, ""Hash Buckets"": 65536, ""Original Hash Buckets"": 65536, ""Hash Batches"": 16, ""Original Hash Batches"": 16, ""Peak Memory Usage"": 1920, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""movie_info_idx"", ""Alias"": ""mi_idx"", ""Startup Cost"": 0.0, ""Total Cost"": 15122.68, ""Plan Rows"": 191806, ""Plan Width"": 25, ""Actual Startup Time"": 0.208, ""Actual Total Time"": 272.341, ""Actual Rows"": 153308, ""Actual Loops"": 3, ""Filter"": ""(info_type_id = 101)"", ""Rows Removed by Filter"": 306703, ""Workers"": []}]}]}]}]}]}, ""Planning Time"": 4.945, ""Triggers"": [], ""Execution Time"": 2012.518}","SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>0 AND ci.role_id=2 AND mi_idx.info_type_id=101;"
5,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 1431.51, ""Total Cost"": 60813.31, ""Plan Rows"": 7416, ""Plan Width"": 134, ""Actual Startup Time"": 182.41, ""Actual Total Time"": 232.828, ""Actual Rows"": 515, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 431.51, ""Total Cost"": 59071.71, ""Plan Rows"": 3090, ""Plan Width"": 134, ""Actual Startup Time"": 156.78, ""Actual Total Time"": 202.449, ""Actual Rows"": 172, ""Actual Loops"": 3, ""Inner Unique"": true, ""Workers"": [], ""Plans"": [{""Node Type"": ""Bitmap Heap Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""movie_companies"", ""Alias"": ""mc"", ""Startup Cost"": 431.08, ""Total Cost"": 19636.95, ""Plan Rows"": 7667, ""Plan Width"": 40, ""Actual Startup Time"": 156.098, ""Actual Total Time"": 176.438, ""Actual Rows"": 206, ""Actual Loops"": 3, ""Recheck Cond"": ""(company_id = 160)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(company_type_id = 2)"", ""Rows Removed by Filter"": 11839, ""Exact Heap Blocks"": 1994, ""Lossy Heap Blocks"": 0, ""Workers"": [], ""Plans"": [{""Node Type"": ""Bitmap Index Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Index Name"": ""company_id_movie_companies"", ""Startup Cost"": 0.0, ""Total Cost"": 426.48, ""Plan Rows"": 36006, ""Plan Width"": 0, ""Actual Startup Time"": 2.041, ""Actual Total Time"": 2.042, ""Actual Rows"": 36136, ""Actual Loops"": 1, ""Index Cond"": ""(company_id = 160)"", ""Workers"": []}]}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""title_pkey"", ""Relation Name"": ""title"", ""Alias"": ""t"", ""Startup Cost"": 0.43, ""Total Cost"": 5.14, ""Plan Rows"": 1, ""Plan Width"": 94, ""Actual Startup Time"": 0.125, ""Actual Total Time"": 0.125, ""Actual Rows"": 1, ""Actual Loops"": 619, ""Index Cond"": ""(id = mc.movie_id)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(production_year < 2000)"", ""Rows Removed by Filter"": 0, ""Workers"": []}]}]}, ""Planning Time"": 6.607, ""Triggers"": [], ""Execution Time"": 232.892}","SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<2000 AND mc.company_id=160 AND mc.company_type_id=2;"
6,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 144332.51, ""Total Cost"": 238339.63, ""Plan Rows"": 602703, ""Plan Width"": 159, ""Actual Startup Time"": 1064.877, ""Actual Total Time"": 1655.698, ""Actual Rows"": 1141529, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Hash Join"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Join Type"": ""Inner"", ""Startup Cost"": 143332.51, ""Total Cost"": 177069.33, ""Plan Rows"": 251126, ""Plan Width"": 159, ""Actual Startup Time"": 1050.023, ""Actual Total Time"": 1257.625, ""Actual Rows"": 380510, ""Actual Loops"": 3, ""Inner Unique"": false, ""Hash Cond"": ""(mi_idx.movie_id = t.id)"", ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""movie_info_idx"", ""Alias"": ""mi_idx"", ""Startup Cost"": 0.0, ""Total Cost"": 13685.15, ""Plan Rows"": 575015, ""Plan Width"": 25, ""Actual Startup Time"": 0.28, ""Actual Total Time"": 36.425, ""Actual Rows"": 460012, ""Actual Loops"": 3, ""Workers"": []}, {""Node Type"": ""Hash"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": true, ""Startup Cost"": 128594.45, ""Total Cost"": 128594.45, ""Plan Rows"": 460085, ""Plan Width"": 134, ""Actual Startup Time"": 896.473, ""Actual Total Time"": 896.477, ""Actual Rows"": 297313, ""Actual Loops"": 3, ""Hash Buckets"": 32768, ""Original Hash Buckets"": 32768, ""Hash Batches"": 64, ""Original Hash Batches"": 64, ""Peak Memory Usage"": 2240, ""Workers"": [], ""Plans"": [{""Node Type"": ""Hash Join"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Join Type"": ""Inner"", ""Startup Cost"": 40418.28, ""Total Cost"": 128594.45, ""Plan Rows"": 460085, ""Plan Width"": 134, ""Actual Startup Time"": 528.511, ""Actual Total Time"": 787.615, ""Actual Rows"": 297313, ""Actual Loops"": 3, ""Inner Unique"": false, ""Hash Cond"": ""(t.id = mc.movie_id)"", ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""title"", ""Alias"": ""t"", ""Startup Cost"": 0.0, ""Total Cost"": 46532.77, ""Plan Rows"": 1053477, ""Plan Width"": 94, ""Actual Startup Time"": 0.261, ""Actual Total Time"": 110.136, ""Actual Rows"": 842771, ""Actual Loops"": 3, ""Workers"": []}, {""Node Type"": ""Hash"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": true, ""Startup Cost"": 31072.22, ""Total Cost"": 31072.22, ""Plan Rows"": 460085, ""Plan Width"": 40, ""Actual Startup Time"": 234.5, ""Actual Total Time"": 234.501, ""Actual Rows"": 297313, ""Actual Loops"": 3, ""Hash Buckets"": 65536, ""Original Hash Buckets"": 65536, ""Hash Batches"": 32, ""Original Hash Batches"": 32, ""Peak Memory Usage"": 1920, ""Workers"": [], ""Plans"": [{""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Scan Direction"": ""Forward"", ""Index Name"": ""company_type_id_movie_companies"", ""Relation Name"": ""movie_companies"", ""Alias"": ""mc"", ""Startup Cost"": 0.43, ""Total Cost"": 31072.22, ""Plan Rows"": 460085, ""Plan Width"": 40, ""Actual Startup Time"": 0.538, ""Actual Total Time"": 181.87, ""Actual Rows"": 297313, ""Actual Loops"": 3, ""Index Cond"": ""(company_type_id > 1)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(company_id < 77942)"", ""Rows Removed by Filter"": 147648, ""Workers"": []}]}]}]}]}]}, ""Planning Time"": 3.382, ""Triggers"": [], ""Execution Time"": 1683.882}","SELECT * FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<77942 AND mc.company_type_id>1;"
7,"{""Plan"": {""Node Type"": ""Seq Scan"", ""Parallel Aware"": false, ""Relation Name"": ""movie_keyword"", ""Alias"": ""mk"", ""Startup Cost"": 0.0, ""Total Cost"": 81003.13, ""Plan Rows"": 4344140, ""Plan Width"": 12, ""Actual Startup Time"": 0.88, ""Actual Total Time"": 596.961, ""Actual Rows"": 4344670, ""Actual Loops"": 1, ""Filter"": ""(keyword_id < 71692)"", ""Rows Removed by Filter"": 179260}, ""Planning Time"": 15.799, ""Triggers"": [], ""Execution Time"": 697.923}",SELECT * FROM movie_keyword mk WHERE mk.keyword_id<71692;
8,"{""Plan"": {""Node Type"": ""Gather"", ""Parallel Aware"": false, ""Startup Cost"": 19824.9, ""Total Cost"": 830338.63, ""Plan Rows"": 3427574, ""Plan Width"": 161, ""Actual Startup Time"": 360.734, ""Actual Total Time"": 47748.679, ""Actual Rows"": 7987245, ""Actual Loops"": 1, ""Workers Planned"": 2, ""Workers Launched"": 2, ""Single Copy"": false, ""Plans"": [{""Node Type"": ""Nested Loop"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": false, ""Join Type"": ""Inner"", ""Startup Cost"": 18824.9, ""Total Cost"": 486581.23, ""Plan Rows"": 1428156, ""Plan Width"": 161, ""Actual Startup Time"": 345.716, ""Actual Total Time"": 46435.995, ""Actual Rows"": 2662415, ""Actual Loops"": 3, ""Inner Unique"": false, ""Workers"": [], ""Plans"": [{""Node Type"": ""Hash Join"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Join Type"": ""Inner"", ""Startup Cost"": 18824.46, ""Total Cost"": 102278.35, ""Plan Rows"": 191422, ""Plan Width"": 119, ""Actual Startup Time"": 344.912, ""Actual Total Time"": 794.32, ""Actual Rows"": 153308, ""Actual Loops"": 3, ""Inner Unique"": false, ""Hash Cond"": ""(t.id = mi_idx.movie_id)"", ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""title"", ""Alias"": ""t"", ""Startup Cost"": 0.0, ""Total Cost"": 46532.77, ""Plan Rows"": 1053477, ""Plan Width"": 94, ""Actual Startup Time"": 0.293, ""Actual Total Time"": 108.82, ""Actual Rows"": 842771, ""Actual Loops"": 3, ""Workers"": []}, {""Node Type"": ""Hash"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": true, ""Startup Cost"": 15122.68, ""Total Cost"": 15122.68, ""Plan Rows"": 191422, ""Plan Width"": 25, ""Actual Startup Time"": 71.962, ""Actual Total Time"": 71.962, ""Actual Rows"": 153308, ""Actual Loops"": 3, ""Hash Buckets"": 65536, ""Original Hash Buckets"": 65536, ""Hash Batches"": 16, ""Original Hash Batches"": 16, ""Peak Memory Usage"": 2144, ""Workers"": [], ""Plans"": [{""Node Type"": ""Seq Scan"", ""Parent Relationship"": ""Outer"", ""Parallel Aware"": true, ""Relation Name"": ""movie_info_idx"", ""Alias"": ""mi_idx"", ""Startup Cost"": 0.0, ""Total Cost"": 15122.68, ""Plan Rows"": 191422, ""Plan Width"": 25, ""Actual Startup Time"": 0.147, ""Actual Total Time"": 47.34, ""Actual Rows"": 153308, ""Actual Loops"": 3, ""Filter"": ""(info_type_id = 99)"", ""Rows Removed by Filter"": 306703, ""Workers"": []}]}]}, {""Node Type"": ""Index Scan"", ""Parent Relationship"": ""Inner"", ""Parallel Aware"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""movie_id_cast_info"", ""Relation Name"": ""cast_info"", ""Alias"": ""ci"", ""Startup Cost"": 0.44, ""Total Cost"": 1.8, ""Plan Rows"": 21, ""Plan Width"": 42, ""Actual Startup Time"": 0.129, ""Actual Total Time"": 0.294, ""Actual Rows"": 17, ""Actual Loops"": 459925, ""Index Cond"": ""(movie_id = t.id)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""((person_id > 681261) AND (role_id > 1))"", ""Rows Removed by Filter"": 12, ""Workers"": []}]}]}, ""Planning Time"": 3.787, ""Triggers"": [], ""Execution Time"": 48014.814}","SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id>681261 AND ci.role_id>1 AND mi_idx.info_type_id=99;"
9,"{""Plan"": {""Node Type"": ""Index Scan"", ""Parallel Aware"": false, ""Scan Direction"": ""Forward"", ""Index Name"": ""company_type_id_movie_companies"", ""Relation Name"": ""movie_companies"", ""Alias"": ""mc"", ""Startup Cost"": 0.43, ""Total Cost"": 40795.21, ""Plan Rows"": 601357, ""Plan Width"": 40, ""Actual Startup Time"": 0.048, ""Actual Total Time"": 184.774, ""Actual Rows"": 381253, ""Actual Loops"": 1, ""Index Cond"": ""(company_type_id > 1)"", ""Rows Removed by Index Recheck"": 0, ""Filter"": ""(company_id < 9749)"", ""Rows Removed by Filter"": 953630}, ""Planning Time"": 1.813, ""Triggers"": [], ""Execution Time"": 193.703}",SELECT * FROM movie_companies mc WHERE mc.company_id<9749 AND mc.company_type_id>1;
